Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
La Cantine,La Cantine est à la fois un lieu de travail et un projet collaboratif dédié aux nouvelles technologies qui propose aux acteurs de l’écosystème numérique un environnement propice à leur rencontre et leur collaboration.,#coworking,#numerique,,48.870468,2.3427,151 rue Montmartre,75002,Paris,2008,www.lacantine.org,lacantine,https://www.facebook.com/LaCantineparSiliconSentier,,,,Tiers-lieu
La Manufacture,"Alternative au travail à domicile, au café ou en bibliothèque, La Manufacture est un espace de coworking qui propose des espaces de travail et de rencontres aux auteurs (scénaristes, écrivains, auteurs jeunesse, traducteurs, etc).",#coworking,,,48.847759,2.37702,100 rue de Charenton,75012,Paris,2010,la-manufacture.tumblr.com,,https://www.facebook.com/pages/La-Manufacture/151257858237420,,,,Tiers-lieu
La Paillasse,"La Paillasse est un biohackerspace, un laboratoire communautaire pour les biotechnologies citoyennes, qui est juxtaposé au hackerspace /tmp/lab",#hackerspace,#biologie,,48.775082,2.4093,6 rue Léon Geffroy,94400,Vitry sur Seine,,www.lapaillasse.org,lapaillasse,,,,,Tiers-lieu
La Poussinade,La Poussinade est un espace de coworking qui héberge des startups et leur fournit un environnement de travail haut de gamme.,#coworking,#bureau,,48.872879,2.33944,10 rue Chauchat,75009,Paris,2012,www.la-poussinade.fr,LaPoussinade,https://www.facebook.com/La.Poussinade,,,,Tiers-lieu
La Ruche,La Ruche est un espace collectif de travail et de création pour entreprendre autrement : il est ouvert à toute personne proposant une réponse innovante à un défi social ou écologique.,#coworking,#ess,,48.872391,2.36488,84 quai de Jemappes,75010,Paris,2008,www.la-ruche.net,HappyRuche,https://www.facebook.com/pages/La-Ruche-Paris/156399354385775,,,,Tiers-lieu
Labo de l'édition,"Le Labo de l'Edition est un lieu consacré à la transition numérique et aux innovations dans toute le secteur de l'édition, tout à la fois incubateur, plateforme d'animation/rencontres et espace de coworking.",#coworking,#edition,,48.843559,2.35122,2 rue Saint-Médard,75003,Paris,2011,www.labodeledition.com,labodeledition,https://www.facebook.com/LabodelEdition,,,,Tiers-lieu
Laptop,"Laptop est un espace de coworking ouvert à tous concepteurs d'images, de textes, de sons, d'objets interactifs qui ont besoin de travailler de manière ponctuelle ou permanente dans un cadre calme, atypique et stimulant.",#coworking,,,48.87735,2.39068,6 rue Arthur Rozier,75019,Paris,2012,www.lelaptop.com,Le_Laptop,https://www.facebook.com/LeLaptop,,,,Tiers-lieu
Lawomatic,Lawomatic propose un ensemble d’ateliers/bureaux à disposition des professions indépendantes créatives et innovantes.,#coworking,#bureau,,48.87413,2.37153,20 rue Jean Moinon,75010,Paris,2009,www.lawomatic.fr,lawomatic,https://www.facebook.com/atelierlawomatic,,,,Tiers-lieu
Le Loop,"Le Loop, Laboratoire Ouvert Ou Pas, est un hackerspace sans lieu fixe qui accueille barbus, curieux et projets créatifs.",#hackerspace,,,48.817696,2.332472,Avenue Lucien Descaves,75014,Paris,,www.leloop.org,Le_Loop,,,,,Tiers-lieu
Le Tank,"Le Tank est un espace de coworking dédié aux indépendants, freelances et créateurs d'entreprise de l'univers numérique et de la communication.",#coworking,#numerique,#communication,48.850472,2.38901,50 rue de Montreuil,75011,Paris,2012,letank.spintank.fr,spintank,,,,,Tiers-lieu
L'Etablisienne,"L'Etablisienne est un lieu dédié au faire-soi même, à l’ameublement et à l’habitat qui propose un atelier en self-service, des établis et des postes de travail à louer à l'heure ou à la journée.",#diy,#meuble,,48.846062,2.40101,88 boulevard de Picpus,75012,Paris,2011,www.letablisienne.com,L_Etablisienne,https://www.facebook.com/L.Etablisienne,,,,Tiers-lieu
Media village,Media Village propose des espaces de travail équipés aux entreprises qui souhaitent louer des bureaux et partager une ambiance professionnelle.,#coworking,#bureau,,48.88728,2.35561,8 rue Myrha,75018,Paris,,www.mediavillage.fr,,,,,,Tiers-lieu
Mutinerie,"Mutinerie est un espace de coworking, un lieu est destiné à fournir aux indépendants et entrepreneurs un espace de travail, de rencontres et d’échanges : Libres Ensemble !",#coworking,,,48.879761,2.37198,29 rue de Meaux,75019,Paris,2012,www.mutinerie.org,MutinerieCrew,https://www.facebook.com/mutinerie.coworking,,,,Tiers-lieu
Next & CoWorking,"Next & CoWorking est l'espace gratuit en mode coworking de Nextformation ouvert en semaine de 18h à 22h sur réservation pour tous les porteurs de projets collaboratifs, associatifs ou innovants.",#coworking,#gratuit,,48.87479,2.29778,55 avenue Hoche,75008,Paris,2010,www.next-coworking.com,next_coworking,https://www.facebook.com/nextformation.coworking,,,,Tiers-lieu
Rueil 92 Coworking,Rueil 92 Coworking propose un espace de travail collaboratif en mode coworking et des bureaux à louer.,#coworking,#bureau,,48.883781,2.1915,9 avenue Paul Doumer,92500,Rueil-Malmaison,2012,www.rueil-92-coworking.com,RueilCoworking,https://www.facebook.com/Rueil92Coworking,,,,Tiers-lieu
Soleilles cowork,"Soleilles Cowork est un espace de travail collaboratif non sectoriel destiné aux professionnels nomades, un lieu modulable qui permet d'organiser réunions, conférences, et travail en équipe.",#coworking,,,48.868111,2.33963,13 rue Vivienne,75002,Paris,,www.soleillescowork.com,SoleillesCowork,https://www.facebook.com/SoleillesCowork,,,,Tiers-lieu
Studios singuliers,Studios Singuliers est un espace de coworking qui met à disposition des entrepreneurs et indépendants un espace de travail collaboratif et un réseau d’échanges professionnels.,#coworking,,,48.893959,2.35278,110 rue des Poissonniers,75018,Paris,2012,www.studios-singuliers.fr,stdsinguliers,https://www.facebook.com/studios.singuliers,,,,Tiers-lieu
Télécentre de la CCPGM,Le télécentre de la Communauté de Communes du Pays de la Goële et du Multien est un espace de cowoorking dédié au télétravail intégré à la Cyberbase.,#coworking,#telecentre,,49.05315,2.67446,6 rue du Général de Gaulle,77230,Dammartin en Goële,,cc-pgm.fr/telecentre/,telecentre77230,,,,,Tiers-lieu
Tmp Lab,"/tmp/lab est un hackerspace pour les personnes qui souhaitent faire des choses créatives avec les technologies, la culture et les arts.",#hackerspace,#art,#culture,48.775082,2.4093,6 rue Léon Geffroy,94400,Vitry sur Seine,,www.tmplab.org,tmplab,,,,,Tiers-lieu
Workin' Paris,Workin' Paris est un espace de coworking ouvert aux entrepreneurs et startups de tout horizon afin de favoriser les échanges et le partage.,#coworking,,,48.879051,2.33321,20 rue Jean-Baptiste Pigalle,75009,Paris,,www.workinparis.com,workinparis,https://www.facebook.com/WorkInParis,,,,Tiers-lieu
