Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
abilian,Abilian,"Editeur de logiciels open source qui propose des solutions innovantes pour votre entreprise ou votre organisation, dans les domaines de la collaboration émergente (entreprise 2.0), des processus métiers et de la gestion de l'information.",,,,48.8287300020005,2.3564900020004416,23 avenue d'Italie,75013,Paris,2012,http://www.abilian.com,sf@fermigier.com,abilianhq,https://www.facebook.com/abilian.corp,,http://www.linkedin.com/company/abilian/,,Entreprise
abstrakt,Abstrakt,Abstrakt est une agence digitale qui assure la promotion de marques et produits numériques en ligne.,agence,marketing,digital,48.880669,2.36465,213 rue du Faubourg Saint Martin,75010,Paris,1998,http://www.abstrakt.fr,,abstraktnews,https://www.facebook.com/pages/abstrakt/102356576469615,,http://www.linkedin.com/company/688039,,Prestataire
académie-des-technologies,Académie des Technologies,L’Académie des Technologies a pour vocation d'émettre des propositions et des recommandations auprès des pouvoirs publics et des acteurs socio-économiques pour une meilleure exploitation des technologies au service de l'homme. ,recherche,academie,technologies,48.864944,2.310285,Avenue Franklin D. Roosevelt,75008,Paris,2000,http://www.academie-technologies.fr,,,,https://plus.google.com/109615914757422944025,https://www.facebook.com/pages/Acad%C3%A9mie-des-technologies/122184864647451,,Acteur public
acapi,Acapi,Club photo regroupant tous les passionnés d'images,opensource,,,48.8807772,2.3232415,16 rue des Chateaupieds,92565,Rueil-Malmaison Cedex,2003,http://www.acapi.fr/,,,,,,,Entreprise
achat-centrale,Achat Centrale,Achat Centrale permet aux TPE et PME de faire des économies sur leurs achats en bénéficiant de conditions privilégiées sur leurs achats non stratégiques.,achat,marketplace,,48.88834,2.26215,3 boulevard de la Saussaye,92200,Neuilly-sur-Seine ,2011,http://www.achatcentrale.fr,,AchatCentrale,https://www.facebook.com/achatcentrale.fr,,http://www.linkedin.com/company/achat-centrale,,Entreprise
actialuna,Actialuna,"Actialuna est une agence de design de livre numérique qui orchestre avec les éditeurs le travail des ingénieurs et des auteurs, en créant des interfaces innovantes et ergonomiques pour le livre.",design,edition,ebook,48.854858,2.40352,80 rue des Haies,75020,Paris,2009,http://www.actialuna.com,,Actialuna,,,http://www.linkedin.com/company/1574984,,Prestataire
actility,Actility,"Actility se positionne sur le marché du M2M (Machine to Machine) et objets communicants déployés à très grande échelle, en adressant notamment les besoins du marché de l’énergie (SmartGrid)",energie,,,48.755487,-3.465688,4 rue Ampère,22302,Lannion,2010,,,,,,,,Entreprise
activnetworks,ActivNetworks,"ActivNetworks est le créateur des solutions BoostEdge, des équipements réseau conçus pour accélérer les temps de réponse Web en réduisant et en optimisant les flux de données.",reseau,optimisation,,48.689117,2.204451,1 rue de Terre Neuve,91940,Les Ulis,2004,http://www.activnetworks.com,,,,,http://www.linkedin.com/company/57663,,Entreprise
acute-games-boostr,Acute Games - Boostr,"Acute Games - Boostr produit Urban Rivals, jeu multi-joueurs gratuit avec plus de 800 personnages à découvrir, collectionner et faire évoluer pour combattre en direct des joueurs du monde entier.",jeu,,,48.84034,2.39081,16 rue Dubrunfaut,75012,Paris,2005,http://www.urban-rivals.com,,urbanrivals,https://www.facebook.com/urbanrivals,,http://www.linkedin.com/company/1512985,,Entreprise
ad-invaders,AD-Invaders,AD-Invaders est à la fois une agence de conseil et un studio de jeux vidéo spécialiste du serious gaming. ,jeu,seriousgaming,,48.817982,2.33021,2 rue Danton,92120,Montrouge,,http://www.ad-invaders.com,,adinvaders,https://www.facebook.com/pages/AD-Invaders/177004672389057,,http://www.linkedin.com/company/393024,,Entreprise
adacore,Adacore,"AdaCore est la société qui fournit des services de support technique et de conseil autour de GNAT, le compilateur Ada libre du projet GNU. AdaCore est également le principal développeur de GNAT.",opensource,ocds,,48.8784971,2.3270581,46 rue d'Amsterdam,75009,Paris,1996,http://www.adacore.com,,,,,,,Entreprise
adacsys,Adacsys,ADACSYS développe et commercialise une solution complète (matérielle et logicielle) pour la vérification fonctionnelle des circuits intégrés et systèmes sur puce (SoCs).,ocds,,,48.7202777,2.2605296,7 rue de la Croix Martre,91120,Palaiseau,2008,http://www.adacsys.com,,,,,,,Entreprise
adanam-technology,Adanam Technology,"Adanam Techology propose des offres technologiques pour la compession sans perte  des flux binaires à la volée (en mode SaaS ou composants, filtres, API, applications pour mobile, applications pour les stockages, archivages, Big Data...).",,,,48.9062255,2.2839531,18 rue Pasteur,92600,Asnieres-Sur-Seine,2011,,,,,,,,Entreprise
adcuities,ADCUITIES,"ADCUITIES est une plateforme digitale dédiée au secteur de l'optique-lunetterie. Vous pouvez l'utiliser pour communiquer et engager le consommateur avec vos marques, générer du trafic en points de vente.",,,,48.8455361550005,2.350280163000434,71 bis rue du Cardinal Lemoine,75005 PARIS,,2012,http://www.opticshopping.com/,contact@adcuities.com,opticshopping,https://www.facebook.com/opticshopping,https://plus.google.com/105740358901889228675/posts,http://www.linkedin.com/company/adcuities?trk=top_nav_home,,Entreprise
addengo,Addengo,"Addengo est une solution de micro-paiement innovante qui a pour objectif de financer du contenu virtuel sur des sites éditeurs (Mobile & Web) grâce à de la publicité vidéo qualitative. Addengo, vous ne verrez plus la publicité comme avant !",,,,48.87261892829001,2.3356246948242188,5 rue Charles Fourier 91000 Evry,,,2013,http://www.addengo.fr/,contact@addengo.fr,Addengo,https://www.facebook.com/Addengo,,http://www.linkedin.com/company/3270909,http://www.viadeo.com/fr/company/addengo,Entreprise
adebe-networks,Adebe Networks ,"Adebe networks développe des concepts de services d’accès à l’information via le web et le mobile et déploie son expertise dans de nombreux domaines : l’ergonomie, le design, le (e)marketing, le pricing, les business models et la valeur d’usage.",apps,,,48.849918,2.37272,16 rue Moreau,75012,Paris,2000,http://www.adebenetworks.com,,,,,,,Entreprise
adicsys,Adicsys,"ADICSYS DESIGN est une société réalisant des prestations d’ingénierie en micro-électronique, à partir d’une solide expérience acquise dans la conception d’ASICs et FPGA complexes.",,,,48.6886854,2.2127813,14 avenue du Québec,91140,Villebon-Sur-Yvette,2011,http://www.adicsys.com/,,,,,,,Entreprise
adler-technologies,Adler Technologies,La société développe une technologie innovante et brevetée alliant reconnaissance biométrique et télécommunication mobile sécurisée.,securite,,,48.7826873,2.4708835,"126, rue de Brie",94000,Creteil,1998,,,,,,,,Entreprise
adminext,Adminext,"Adminext est un cabinet de conseil spécialisé dans la réingénierie des processus publics, le pilotage stratégique des systèmes d’information et la mise en oeuvre de solutions innovantes de dématérialisation.",conseil,reingenierie,dematerialisation,48.83054,2.3292,48 avenue du Général Leclerc,75014,Paris,2007,http://www.adminext.com,,,,,http://www.linkedin.com/company/3036042,,Prestataire
advanced-track-and-trace,Advanced Track And Trace,De la Traçabilité sécurisée unitaire... aux preuves incontestables,securite,,,48.8601284,2.179578,99 avenue de La Châtaigneraie,92504,Rueil-Malmaison,2003,http://www.att-fr.com/fr,,,,,,,Entreprise
adveotec,Adveotec,"Spécialiste de l'optoélectronique et de la mesure, AdvEOTec contribue à la dissémination des applications mixtes optiques et électroniques dans l’industrie. ",telecoms,,,48.597094,2.425046,"6-8, rue de La CloserieZAC du Clos aux Pois - CE5270",91090,Lisses,2003,http://www.adveotec.com,,,,,,,Entreprise
advestigo,Advestigo,Advestigo propose une technologie d'empreintes numériques qui protège les contenus audio ou vidéo et permet leur distribution légale sur Internet.,securite,empreinte,,48.84193,2.22108,1 rue Royale,92210,Saint Cloud,,http://www.advestigo.com,,,,,http://www.linkedin.com/company/57701,,Entreprise
adways,Adways,Adways est spécialisée dans le rich média interactif et assure le développement de solutions et d’applications innovantes pour tous les supports en ayant recours à la vidéo enrichie.,richmedia,video,immersif,48.875179,2.32361,2 rue de la Pépinière,75008,Paris,2010,http://www.adways.com,,,https://www.facebook.com/adways.sas,,http://www.linkedin.com/company/2868632,,Entreprise
aerys,Aerys,"Aerys propose Minko, une technologie permettant de réaliser des applications 3D sur le web et sur mobiles, et Orbit, une technologie pour l’internet des objets.",3d,objetsconnectes,,48.825661,2.3835,15 rue Jean-Baptiste Berlier,75013,Paris,2010,http://www.aerys.in,,AerysInnovation,https://www.facebook.com/aerysinnovation,,http://www.linkedin.com/company/1880115,,Entreprise
aesma,Aesma,Société dédiée au management des risques géo-économiques et géo-sécuritaires,,,,48.873231,2.3245846,37 rue des Mathurins,75008,Paris,2009,http://www.aesma-group.com,,,,,,,Entreprise
af83,af83,"af83 est une agence spécialisée en conception d’expérience, technologie et communication, qui accompagne ses clients dans la transformation de leur activité sur le digital pour offrir des services innovants à leurs utilisateurs.",agence,digital,innovation,48.869228,2.3478,15 rue Poissonnière,75002,Paris,2006,http://www.af83.com,,af83,,,http://www.linkedin.com/company/af83,,Prestataire
afci-newsoft,AFCI Newsoft,"AFCI Newsoft est un centre de formation qui propose dans son catalogue de nombreuses formations diplômantes autour d'internet, du web et du multimédia.",developpeur,designer,web,48.857582,2.437431,12 rue de Vincennes,93100,Montreuil,1989,http://www.afci.fr,,,https://www.facebook.com/afcinewsoft,,http://www.linkedin.com/company/2731633,,École
affini-tech,Affini-Tech,"Affini-TECH est une société de conseil et de service focalisée sur les technologies de traitement de l’information liée à la problématique BigData. Nous intervenons tant sur les problématiques d’usages, que d’infrastructure.\\n",opensource,,,48.8178924,2.2459255,11 avenue Henri IV,92190,Meudon,2012,http://www.affini-tech.com/index.html,,,,,,,Entreprise
affordance,Affordance,Agence de conseil en ergonomie et design vous apporte son expertise au travers d'une démarche de conception innovante basée sur l'étude du comportement de vos utilisateur et la créativité au service des usages de vos produits.\\n,securite,,,48.8909932,2.3396255,20 rue de la fontaine du but,75018,Paris,2008,http://www.affordance.eu/,,,,,,,Entreprise
afnor,Afnor,L'association AFNOR et ses filiales constituent un groupe international au service de l'intérêt général et du développement économique des organisations.,securite,,,48.9197588,2.3614973,"11, rue Francis Pressensé",93571,La-Plaine-Saint-Denis,#NUM!,http://www.afnor.org,,,,,,,Entreprise
agence-française-informatique,Agence Française Informatique,L'AFI est une société de conseil spécialiste de l'informatique et des métiers des collectivités territoriales.,conseil,informatique,collectivites,48.9487,3.08767,4 rue de la Couture,77260,Sammeron,1981,http://www.afi-sa.fr,,,,,,,Prestataire
agence-propal,Agence Propal,"L'Agence Propal est une agence digitale spécialiste de Drupal qui offre développement, conseil et expertise.",developpement,drupal,,48.889542,2.34958,57 boulevard Barbès,75018,Paris,,http://www.propal.net,,,,,,,Prestataire
agilab,Agilab,"AgiLab offre une nouvelle génération d’applications web LIMS (Laboratory Information Management System) et ELN (Electronic Laboratory Notebook) pour la gestion de l’information dans les laboratoires de recherche, développement et contrôle qualité.",apps,laboratoires,,48.871109,2.393599,24 rue de l'Est,75020,Paris,2010,http://www.agilab.fr,,,,,http://www.linkedin.com/company/agilab,,Entreprise
agora-plus,Agora plus,Agora Plus est un éditeur de logiciels qui propose des solutions full web aux collectivités locales.,logiciel,collectivites,,48.825661,2.3835,15 rue Jean-Baptiste Berlier,75013,Paris,2005,http://www.agoraplus.fr,,,,,,,Entreprise
agorabox,Agorabox,"Agorabox développe un logiciel libre permettant d'emmener partout son bureau numérique avec ses applications et ses fichiers, le tout sur une clé USB de 8GB.",opensource,stockage,usb,48.868664,2.3867,5 rue Eupatoria,75020,Paris,2008,http://www.agorabox.org,,agorabox,,,http://www.linkedin.com/company/agorabox,,Entreprise
agoralogie,Agoralogie,"Agoralogie est spécialisée dans la gestion de projets de travail collaboratif pour le web sémantique et l'étude des mesures de la qualité du travail, pour des résultats exploités scientifiquement.",semantique,,,48.85141,2.37942,6  rue de Candie,75011,Paris,,http://www.agoralogie.fr,,Agoralogie,,,,,Entreprise
agoranov,Agoranov,"Agoranov est un incubateur public d'entreprises innovantes fondé par les Universités Pierre et Marie Curie et Dauphine, l’Ecole Normale Supérieure, ParisTech et l’INRIA. ",coaching,hebergement,accompagnement,48.846191,2.32823,96 boulevard Raspail,75006,Paris,2000,http://www.agoranov.com,,,,,http://www.linkedin.com/company/87654,,Incubateur
agorize,Agorize,"Agorize, éditée par Studyka, est une plateforme SaaS dédiée à l’animation de communauté dans le but d’identifier les personnes les plus qualifiées et de les associer à la définition de la stratégie de l’organisation et à ses processus d’innovation.",rh,openinnovation,,48.83078,2.3144,5 rue des Suisses,75014,Paris,2011,http://www.agorize.com,,,,,http://www.linkedin.com/company/1477703,,Entreprise
ahead-solutions,AHEAD SOLUTIONS,"Éditeur d'applications et solutions mobiles, agence de publicité sur mobile",,,,48.88452927745483,2.29489803314209,16 rue guillaume tell,,,2010,http://ahead-solutions.com/,admin@ahead-solutions.com,aheadsolutions,http://www.facebook.com/pages/Ahead-Solutions/186858731331648,https://plus.google.com/111989686610796349731,,,Entreprise
air-liquide,Air Liquide,"Air Liquide est leader mondial des gaz pour l'industrie, la santé et l'environnement, présent dans 80 pays avec 43600 collaborateurs.",energie,,,48.765116,2.132823,1 Chemin de La Porte des Loges,78354,Les-Loges-En-Josas,1905,http://www.airliquide.com,,,,,,,Entreprise
airbnb,Airbnb,Airbnb est une plateforme communautaire de location de logements entre particuliers.,economiecollaborative,logement,,48.873089,2.3448,3 rue de Montyon,75009,Paris,2008,http://www.airbnb.fr,,airbnb_fr,https://www.facebook.com/AirbnbFrance,,http://www.linkedin.com/company/309694,,Entreprise
airbus,Airbus,"Airbus is a leading aircraft manufacturer, with the most modern and comprehensive aircraft family.",ocds,,,43.6266578,1.3855026,1 Rond Point Maurice Bellonte,31707,Blagnac,1991,http://www.airbus.com,,,,,,,Entreprise
akamedia,Akamedia,Akamedia propose des services de production de contenus audiovisuels et des solutions de distribution pour tous les écrans.,audiovisuel,,,48.837639,2.2847,2 villa Thoréton,75015,Paris,2003,http://www.akamedia.net,,akamedia,https://www.facebook.com/pages/Akamedia/262525683655,,http://www.linkedin.com/company/akamedia,,Entreprise
akare,Akare,Akare est un éditeur de logiciels de gestion et d'applications collaboratives en ligne.,apps,,,48.870593,2.304993,66 avenue de Champs Elysées,75008,Paris,2007,http://www.akare.eu,,,,,http://www.linkedin.com/company/akare,,Entreprise
akka-venture,Akka Venture,"Levée de fonds, fusion acquisition",,,,48.87082300500049,2.3090715040004284,25,rue de ponthieu,75008 Paris,2006,http://www.akkaventure.com,dj@akkaventure.com,akkaventure,http://www.facebook.com/akkaventure,,,,Prestataire
alain-risbourg,Alain Risbourg,,Investisseur,,,48.843754,2.3030077,5 Square Charles Laurent,75015,Paris,2009,,,,,,,,Entreprise
alain-rodermann,Alain Rodermann,,Investisseur,,,48.5367327,2.3491745,27 avenue du Château,91760,Itteville,2009,,,,,,,,Entreprise
alambik,Alambik,"Alambik est un incubateur qui regroupe une communauté de startups et un ""garage"" d'entrepreneurs de la génération Y.",startups,nonprofit,communaute,48.875641,2.34918,54 rue de Paradis,75010,Paris,,http://www.alambik.eu,,CuveeStartups,https://www.facebook.com/pages/Alambik/121092321281815,,,,Incubateur
alcatel-lucent,Alcatel-Lucent,"Alcatel-Lucent est un leader des technologies mobiles, fixes, IP et optiques, ainsi qu’un précurseur dans le domaine des applications et des services.",equipement,telecoms,,48.662532,2.238112,7 route de Villejust,91620,Nozay,2006,http://www.alcatel-lucent.com,,AlcatelLucent,,,http://www.linkedin.com/company/1058,,Entreprise
alcatel-lucent-international,Alcatel-Lucent International,"Grande spécialiste des réseaux intelligents optimisés pour les applications, elle propose des infrastructures IP et des outils de communication sécurisés qui améliorent la collaboration et les méthodes de travail en entreprise. ",Investisseur,,,48.8562788,2.2929308,3 avenue Octave Greard,75007,Paris,1986,,,,,,,,Entreprise
aldebaran-robotics,Aldebaran Robotics,"Aldebaran Robotics est une société spécialisée dans la robotique. Elle a créé Nao, un robot humanoïde programmable.",robotique,,,48.829922,2.31015,170 rue Raymond Losserand,75014,Paris,2005,http://www.aldebaran-robotics.com,,AldebaranR,,,http://www.linkedin.com/company/98040,,Entreprise
alenty,Alenty,"Alenty mesure si les publicités sur Internet sont vues. A l'aide d'une technologie embarquée avec les publicités, Alenty mesure plusieurs milliards de publicités par mois.",,,,48.87261892829001,2.3356246948242188,18 rue yves toudic 75010 Paris,,,2007,http://www.alenty.com,laurent.nicolas@alenty.com,alentycom,http://www.facebook.com/alenty,https://plus.google.com/113642299136780739556,http://www.linkedin.com/company/403554,,Entreprise
alert.us,Alert.Us,Alert.Us est une application mobile qui permet aux enfants d’obtenir l’aide de leurs proches dès qu’ils ont besoin d’assistance.,securite,enfants,mobile,48.8746,2.30392,7 avenue de Friedland,75008,Paris,2011,http://www.alert.us,,AlertUs,https://www.facebook.com/pages/AlertUs/191696730924046,,,,Entreprise
alfstore,Alfstore,Alfstore est un éditeur de solutions qui construit des applications sociales orientées métier pour Alfresco.,apps,alfresco,,48.825661,2.3835,15 rue Jean-Baptiste Berlier,75013,Paris,2010,http://www.alfstore.com,,Alfstore,,,http://www.linkedin.com/company/915876,,Entreprise
alice-innovation,Alice Innovation,Alice Innovation produit des solutions informatiques et des services technologiques dédiés au développement et au soutien de l'innovation.,informatique,,,48.835155,2.536097,3 boulevard Georges Méliès,94350,Villiers sur Marne,,http://www.alice-innovation.com,,,,,,,Entreprise
alioscopy,Alioscopy,Alioscopy développe des solution et services 3D qui ne nécessitent pas le port de lunettes 3D pour être regardés. ,3d,,,48.87094,2.394663,3 rue de l'Est,75020,Paris,1987,http://www.alioscopy.com,,Alioscopy,,,,,Entreprise
alixen,Alixen,"La société Alixen est spécialisée dans l'étude, la réalisation, le déploiement et la maintenance de solutions d'infrastructure informatique basées sur des logiciels libres.",opensource,,,48.7085053,2.1746263,20 rue Jean Rostand,91400,Orsay,2002,http://www.alixen.fr/,,,,,,,Entreprise
all-together,All Together,All Together est un réseau social de partage d'activités de loisirs en réel.,reseausocial,loisirs,ingenierie,48.89254,2.16894,17 rue Raymond Queneau,92500,Rueil-Malmaison,2012,http://www.all-together.net,,AllTogetherNet,http://facebook.com/AllTogether,https://plus.google.com/103028441603721567999,http://www.linkedin.com/company/all-together,,Entreprise
all4tec,All4Tec,Editeur de logiciel,transport,,,48.077863,-0.770138,"6 rue Leonard de Vinci, BP 0119 Cedex",53000,Laval,1998,http://www.all4tec.net,,,,,,,Entreprise
allmyapps,Allmyapps,Allmayapps développe un App Store pour Windows qui permet de découvrir et de gérer les applications sur PC.,apps,store,,48.881618,2.31294,8 rue de la Terrasse,75017,Paris,2009,http://www.allmyapps.com,,allmyapps,https://www.facebook.com/allmyapps,,http://www.linkedin.com/company/allmyapps,,Entreprise
allocadeau,AlloCadeau,AlloCadeau est une conciergerie en ligne d'idées cadeaux.,conciergerie,cadeaux,,48.849209,2.37359,65 avenue Ledru-Rollin,75012,Paris,,http://www.allocadeau.com,,AlloCadeau,https://www.facebook.com/AlloCadeau,,,,Entreprise
alneos,Alneos,ALNEOS est une société d'expertise en ingénierie et en informatique scientifique intervenant dans le domaine de la mécanique des structures.,ocds,,,48.7792053,2.2818962,196 rue Houdan,92330,Sceaux,2008,,,,,,,,Entreprise
alphacode,Alphacode,Alphacode propose des outils pour l'extraction d'information à partir de documents papier et offre des services pour la lecture et l'interprétation automatique des données.,data,extraction,,48.721779,2.0948,26 rue Mars,78110,Magny les Hameaux,,http://www.alphacode.eu,,,,,,,Entreprise
alphaui,AlphaUi,AlphaUi a lancé un prototype innovant pour donner efficacité et confort de saisie aux équipements de la mobilité sous la forme d'un clavier dorsal qui s’intègre aux smartphones et tablettes mobiles.,equipement,mobile,interface,48.893959,2.35278,110 rue des Poissonniers,75018,Paris,2008,http://www.alphaui.com,,AlphaUi_,,,,,Entreprise
alstom-transport,Alstom Transport,Au service des marchés de l’énergie et des transports.,transport,ocds, energie,48.9142697,2.3321974,"48, rue Albert Dhalenne",93482,Saint-Ouen,2009,http://www.transport.alstom.com,,,,,,,Entreprise
